Study_ID,Citation,SAR_TYPE,Study_location,Biogeo_realm,Number of islands/patches in study,Area,Richness
19,Morrison 1997,Insular,Polynesian islands,Oceania,13,2600000,9
19,Morrison 1997,Insular,Polynesian islands,Oceania,13,26900000,12
19,Morrison 1997,Insular,Polynesian islands,Oceania,13,5000000,12
19,Morrison 1997,Insular,Polynesian islands,Oceania,13,15400000,14
19,Morrison 1997,Insular,Polynesian islands,Oceania,13,18300000,15
19,Morrison 1997,Insular,Polynesian islands,Oceania,13,67390000,18
19,Morrison 1997,Insular,Polynesian islands,Oceania,13,85000000,19
19,Morrison 1997,Insular,Polynesian islands,Oceania,13,316000000,19
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,16300,1
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,39700,2
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,31800,2
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,341300,3
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,79400,3
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,79400,3
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,67500,3
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,55600,3
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,51600,3
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,39700,3
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,39700,3
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,27800,3
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,23800,3
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,127000,4
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,101600,4
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,87300,4
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,83300,4
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,4000,4
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,722400,5
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,71400,5
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,67500,5
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,55600,5
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,23800,5
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,563600,6
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,146900,6
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,115100,6
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,95300,6
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,93900,6
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,63500,6
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,63500,6
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,639000,8
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,95300,8
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,79400,9
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,309600,11
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,1016100,13
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,444500,15
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,440600,16
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,781900,17
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,317500,18
23,Suarez et al. 1998,Mainland,San Diego County,Nearctic,40,1008100,22
24,Wetter et al. 2002,Insular,Dry tortugas,Neotropic,5,8000,4
24,Wetter et al. 2002,Insular,Dry tortugas,Neotropic,5,16000,5
24,Wetter et al. 2002,Insular,Dry tortugas,Neotropic,5,120000,6
24,Wetter et al. 2002,Insular,Dry tortugas,Neotropic,5,260000,8
24,Wetter et al. 2002,Insular,Dry tortugas,Neotropic,5,170000,18
25,Wetterer et al. 2007,Insular,Madeiran Archipelago,Palearctic,4,2730000,2
25,Wetterer et al. 2007,Insular,Madeiran Archipelago,Palearctic,4,14211265,9
25,Wetterer et al. 2007,Insular,Madeiran Archipelago,Palearctic,4,42165006,11
25,Wetterer et al. 2007,Insular,Madeiran Archipelago,Palearctic,4,741000000,27
29,Terayama 1992,Insular,East Asia,Palearctic,4,79000000000,61
29,Terayama 1992,Insular,East Asia,Palearctic,4,18000000000,96
29,Terayama 1992,Insular,East Asia,Palearctic,4,36000000000,123
29,Terayama 1992,Insular,East Asia,Palearctic,4,36000000000,205
31,Sugiura,Insular,Japan,Palearctic,5,1450000,8
31,Sugiura,Insular,Japan,Palearctic,5,490000,8
31,Sugiura,Insular,Japan,Palearctic,5,7850000,11
31,Sugiura,Insular,Japan,Palearctic,5,20800000,13
31,Sugiura,Insular,Japan,Palearctic,5,23990000,16
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,459200,29
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,836300,39
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,911600,48
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,101700,49
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,305500,49
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,275200,50
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,796400,50
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,381700,52
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,225600,53
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,833700,54
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,2957600,56
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,249300,57
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,317400,58
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,370300,59
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,500500,59
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,879400,61
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,2505200,62
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,3479300,67
32,Leal et al. 2012,Mainland,"Brazil, Usina Serra Grande",Neotropic,19,35000000,67
33,"Wetterer, J.K., X. Espadaler, A.L. Wetterer, and S.G.M. Cabral. 2004. Native and exotic ants of the Azores (Hymenoptera: Formicidae). Sociobiology 44: 1-20.",Insular,"Azores, Portugal",Palearctic,9,20000000,2
33,"Wetterer, J.K., X. Espadaler, A.L. Wetterer, and S.G.M. Cabral. 2004. Native and exotic ants of the Azores (Hymenoptera: Formicidae). Sociobiology 44: 1-20.",Insular,"Azores, Portugal",Palearctic,9,153000000,4
33,"Wetterer, J.K., X. Espadaler, A.L. Wetterer, and S.G.M. Cabral. 2004. Native and exotic ants of the Azores (Hymenoptera: Formicidae). Sociobiology 44: 1-20.",Insular,"Azores, Portugal",Palearctic,9,70000000,4
33,"Wetterer, J.K., X. Espadaler, A.L. Wetterer, and S.G.M. Cabral. 2004. Native and exotic ants of the Azores (Hymenoptera: Formicidae). Sociobiology 44: 1-20.",Insular,"Azores, Portugal",Palearctic,9,103000000,5
